event_name,event_date,event_city,event_state,event_country,event_url
UFC on FOX: Dillashaw vs. Barao II,2015-07-25,Chicago,Illinois,USA,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC Fight Night: Bisping vs Leites,2015-07-18,Glasgow,Scotland,United Kingdom,http://ufcstats.com/event-details/ef7fa30364cbe7f2
UFC Fight Night: Mir vs Duffee,2015-07-15,San Diego,California,USA,http://ufcstats.com/event-details/36877f0e62b25b96
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,2015-07-12,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/a890f9a791ed615d
UFC 189: Mendes vs McGregor,2015-07-11,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/3be081c29bf734d9
UFC Fight Night: Machida vs Romero,2015-06-27,Hollywood,Florida,USA,http://ufcstats.com/event-details/86e388ed20761ad9
UFC Fight Night: Jedrzejczyk vs Penne,2015-06-20,Berlin,Berlin,Germany,http://ufcstats.com/event-details/194fc025f9355db6
UFC 188: Velasquez vs Werdum,2015-06-13,Mexico City,Distrito Federal,Mexico,http://ufcstats.com/event-details/a58114c6dd0add64
UFC Fight Night: Boetsch vs Henderson,2015-06-06,New Orleans,Louisiana,USA,http://ufcstats.com/event-details/06dc1a58663579d2
UFC Fight Night: Condit vs Alves,2015-05-30,Goiania,Goias,Brazil,http://ufcstats.com/event-details/aae0897825336b1a
UFC 187: Johnson vs Cormier,2015-05-23,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/4f7e290e71d60f87
UFC Fight Night: Edgar vs Faber,2015-05-16,Manila,NULL,Philippines,http://ufcstats.com/event-details/b1605ea39fba6af6
UFC Fight Night: Miocic vs Hunt,2015-05-09,Adelaide,South Australia,Australia,http://ufcstats.com/event-details/8a1b4330c7957961
UFC 186: Johnson vs Horiguchi,2015-04-25,Montreal,Quebec,Canada,http://ufcstats.com/event-details/997b4f52f76a0b53
UFC on FOX: Machida vs Rockhold,2015-04-18,Newark,New Jersey,USA,http://ufcstats.com/event-details/bc7cf284c1c2f16e
UFC Fight Night: Gonzaga vs Cro Cop 2,2015-04-11,Krakow,NULL,Poland,http://ufcstats.com/event-details/5de61b03868035ff
