fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Ryan,Parker,NULL,190.5,235,NULL,Southpaw,NULL,0,1,0,NULL,http://ufcstats.com/fighter-details/6a0b80a24f22e152
Larry,Parker,NULL,180.34,205,NULL,Orthodox,NULL,13,6,1,NULL,http://ufcstats.com/fighter-details/c0231720fe516994
Tyra,Parker,NULL,165.1,115,NULL,Orthodox,NULL,4,5,0,NULL,http://ufcstats.com/fighter-details/64be3dc99eaa42b6
Mick,Parkin,NULL,193.04,265,200.66,Orthodox,1995-10-02,10,0,0,NULL,http://ufcstats.com/fighter-details/0d5cc0170c1a7e71
Willie,Parks,Slick,177.8,185,NULL,,1983-11-04,5,2,0,NULL,http://ufcstats.com/fighter-details/86ad0ae839331bd7
Jordan,Parsons,Pretty Boy,175.26,145,NULL,,1990-08-26,11,2,0,NULL,http://ufcstats.com/fighter-details/8b2a18d3c6735083
Preston,Parsons,Pressure,180.34,170,180.34,Orthodox,1995-07-15,11,5,0,NULL,http://ufcstats.com/fighter-details/9fe7af8b3fbe00a0
Jonny,Parsons,The Sluggernaut,175.26,170,175.26,Orthodox,1991-09-06,9,3,0,NULL,http://ufcstats.com/fighter-details/2975297f505e9447
Onassis,Parungao,NULL,180.34,200,NULL,,NULL,2,1,0,NULL,http://ufcstats.com/fighter-details/96d173b7f92aa520
Ramona,Pascual,NULL,170.18,135,167.64,Southpaw,1988-09-23,6,5,0,NULL,http://ufcstats.com/fighter-details/3eb4dc9a7d4ac906
Billy,Pasulatan,NULL,165.1,125,167.64,Switch,1991-08-07,10,3,0,NULL,http://ufcstats.com/fighter-details/e5a59983f4603621
Jhonoven,Pati,The Samoan Savage,185.42,185,190.5,Switch,1990-08-29,6,4,0,NULL,http://ufcstats.com/fighter-details/6b16024d44eb03a2
Windri,Patilima,NULL,167.64000000000001,155,180.34,Southpaw,1993-07-19,8,1,0,NULL,http://ufcstats.com/fighter-details/66d42e9503fa108e
Jorge,Patino,Macaco,172.72,170,NULL,Orthodox,1973-08-05,38,19,2,2,http://ufcstats.com/fighter-details/c8cca8f3de5be4b4
Russell,Patrick,NULL,175.26,145,NULL,,NULL,6,4,0,NULL,http://ufcstats.com/fighter-details/eafedba0617ced81
Claude,Patrick,The Prince,180.34,170,190.5,Orthodox,1980-06-14,14,2,0,NULL,http://ufcstats.com/fighter-details/56116a79e4deed06
Alan,Patrick,Nuguette,180.34,155,187.96,Southpaw,1983-07-19,15,4,0,1,http://ufcstats.com/fighter-details/cd7763bcadb5d4c8
Michael,Patt,NULL,182.88,205,NULL,Orthodox,NULL,12,4,0,NULL,http://ufcstats.com/fighter-details/83d0de122f2f9664
Justin,Patterson,The Tactician,177.8,170,NULL,,1985-12-07,9,3,0,NULL,http://ufcstats.com/fighter-details/2dc7c49cfaeb867c
Sam,Patterson,NULL,190.5,170,198.12,Orthodox,1996-04-30,12,2,1,NULL,http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7
Zac,Pauga,The High Chief,187.96,205,193.04,Orthodox,1988-02-25,7,3,0,NULL,http://ufcstats.com/fighter-details/56f7d7ee06be4aab
Julio,Paulino,The Dominican Demon,182.88,170,NULL,Orthodox,1975-12-04,23,5,0,NULL,http://ufcstats.com/fighter-details/60c72f7459827881
Thomas,Paull,Juggernaut,170.18,155,170.18,Orthodox,1994-10-15,11,4,0,NULL,http://ufcstats.com/fighter-details/dda67d7d3df6b406
Sergei,Pavlovich,NULL,190.5,257,213.36,Southpaw,1992-05-13,18,3,0,NULL,http://ufcstats.com/fighter-details/f14cf73e51b29254
Pawel,Pawlak,NULL,182.88,170,185.42,Orthodox,1989-02-08,12,3,0,NULL,http://ufcstats.com/fighter-details/9310418684bc896f
Estevan,Payan,El Terrible,177.8,145,NULL,Orthodox,1982-03-14,16,12,0,1,http://ufcstats.com/fighter-details/d0a5ef38a7778ac2
Sarah,Payant,Soulja,162.56,115,NULL,,NULL,1,4,0,NULL,http://ufcstats.com/fighter-details/748d4e35f846a029
Roland,Payne,NULL,175.26,205,NULL,Orthodox,NULL,0,1,0,NULL,http://ufcstats.com/fighter-details/2e04a3b4a2011b97
Jonathan,Pearce,JSP,182.88,145,180.34,Switch,1992-05-01,14,6,0,NULL,http://ufcstats.com/fighter-details/87c0b1c696ddfb43
Joe,Pearson,The Triangular Strangler,177.8,145,NULL,Orthodox,1978-03-28,45,30,1,NULL,http://ufcstats.com/fighter-details/122806b56775a53a
Ross,Pearson,The Real Deal,172.72,155,175.26,Orthodox,1984-09-26,20,16,0,1,http://ufcstats.com/fighter-details/4f732e58ed907eff
Andre,Pederneiras,NULL,172.72,155,NULL,Orthodox,1967-03-22,1,1,2,NULL,http://ufcstats.com/fighter-details/bba678d312590087
Carlo,Pedersoli Jr.,Semento,180.34,170,190.5,Southpaw,1993-06-08,11,3,0,NULL,http://ufcstats.com/fighter-details/198994b47f395af0
Matt,Pedro,NULL,NULL,NULL,NULL,,NULL,3,1,0,NULL,http://ufcstats.com/fighter-details/f354c50b8d63d9b3
Tyson,Pedro,NULL,190.5,205,200.66,Orthodox,1991-09-17,10,5,0,NULL,http://ufcstats.com/fighter-details/49e96ff8ab781589
Trevor,Peek,NULL,175.26,155,177.8,Switch,1995-01-09,9,3,0,1,http://ufcstats.com/fighter-details/0bc697c5936a2d0a
Willie,Peeters,NULL,175.26,220,NULL,Orthodox,1965-10-26,9,10,1,NULL,http://ufcstats.com/fighter-details/e7bfdb5e0112891e
